iter	RMSE
0	9.002872911
1	8.842399435
2	8.630972359
3	8.443624385
4	8.276410965
5	8.114877934
6	7.954770805
7	7.793140922
8	7.621458104
9	7.480729687
10	7.322767388
11	7.178702353
12	7.02764402
13	6.899676382
14	6.759784242
15	6.622009965
16	6.487157563
17	6.356718034
18	6.240094344
19	6.113670543
20	6.003398795
21	5.901173439
22	5.783500218
23	5.671796896
24	5.577446302
25	5.485517787
26	5.380038857
27	5.279056343
28	5.189874449
29	5.095532544
30	5.016534427
31	4.933607755
32	4.856681486
33	4.77604268
34	4.718609238
35	4.640097129
36	4.583098609
37	4.516129118
38	4.452054447
39	4.403843144
40	4.342742838
41	4.278731978
42	4.221416364
43	4.160756124
44	4.094710873
45	4.035687568
46	3.983678008
47	3.927948134
48	3.875640133
49	3.827895706
50	3.784053143
51	3.737945816
52	3.692579372
53	3.643864404
54	3.610468016
55	3.576066424
56	3.540339848
57	3.502602935
58	3.460583802
59	3.428438598
60	3.394240089
61	3.364584616
62	3.333789511
63	3.299740911
64	3.265634585
65	3.23239407
66	3.204383853
67	3.17035902
68	3.148749568
69	3.116854156
70	3.087389579
71	3.061965568
72	3.039764712
73	3.016880128
74	2.994296947
75	2.970788061
76	2.952335844
77	2.929470427
78	2.909233798
79	2.890239552
80	2.864209339
81	2.845989134
82	2.829844783
83	2.806796065
84	2.791960596
85	2.768901919
86	2.745747419
87	2.729387931
88	2.708374137
89	2.69311638
90	2.672365769
91	2.653533672
92	2.641685937
93	2.628038122
94	2.61369233
95	2.59969507
96	2.587922623
97	2.571382182
98	2.553579979
99	2.537807648
100	2.528754413
101	2.512209227
102	2.499409872
103	2.484492739
104	2.47383125
105	2.462023287
106	2.448303543
107	2.432155625
108	2.42120198
109	2.411061883
110	2.399303653
111	2.387188119
112	2.37705396
113	2.366678463
114	2.357488245
115	2.348030864
116	2.336134979
117	2.327487879
118	2.314693231
119	2.30158273
120	2.292552753
121	2.281963468
122	2.275320905
123	2.267346264
124	2.260897284
125	2.254137384
126	2.248928488
127	2.237578441
128	2.228313535
129	2.219815137
130	2.209637428
131	2.202085205
132	2.198074644
133	2.18780598
134	2.17824618
135	2.170917024
136	2.161010722
137	2.153194663
138	2.145547192
139	2.137771512
140	2.131937406
141	2.121547676
142	2.115161617
143	2.110941885
144	2.102942811
145	2.097462258
146	2.089977642
147	2.085717939
148	2.076983751
149	2.070019643
150	2.06461243
151	2.056610724
152	2.04769714
153	2.038265056
154	2.032992787
155	2.027213077
156	2.020021788
157	2.014978389
158	2.009636429
159	2.003306601
160	1.997758874
161	1.990682728
162	1.985774502
163	1.978011459
164	1.970426305
165	1.96154698
166	1.958193476
167	1.950538092
168	1.945132345
169	1.938674314
170	1.933180041
171	1.926557361
172	1.919440722
173	1.910423094
174	1.904289095
175	1.900501248
176	1.894492515
177	1.890212806
178	1.882381897
