iter	Passed	Remaining
0	3	3985
1	7	3989
2	12	4135
3	14	3650
4	18	3621
5	21	3517
6	24	3461
7	28	3503
8	30	3350
9	33	3331
10	38	3448
11	41	3453
12	46	3504
13	49	3484
14	51	3356
15	53	3318
16	56	3285
17	60	3282
18	63	3267
19	66	3238
20	69	3227
21	72	3215
22	75	3209
23	78	3195
24	81	3174
25	84	3156
26	87	3159
27	91	3165
28	94	3173
29	98	3169
30	101	3175
31	105	3176
32	108	3180
33	110	3150
34	113	3135
35	116	3129
36	120	3144
37	123	3114
38	126	3106
39	129	3097
40	132	3104
41	135	3091
42	138	3093
43	142	3099
44	145	3097
45	149	3095
46	152	3098
47	175	3478
48	179	3483
49	183	3485
50	185	3446
51	188	3441
52	192	3437
53	194	3414
54	198	3409
55	201	3402
56	205	3407
57	210	3411
58	213	3401
59	216	3389
60	219	3384
61	223	3379
62	225	3360
63	229	3350
64	232	3343
65	235	3338
66	239	3336
67	243	3331
68	244	3303
69	246	3278
70	250	3271
71	254	3280
72	258	3278
73	261	3277
74	265	3269
75	269	3280
76	273	3276
77	276	3272
78	280	3266
79	283	3261
80	287	3257
81	290	3250
82	293	3241
83	295	3219
84	299	3219
85	303	3221
86	307	3227
87	310	3221
88	314	3218
89	317	3215
90	321	3213
91	323	3190
92	326	3183
93	328	3169
94	332	3167
95	336	3165
96	339	3158
97	342	3155
98	346	3153
99	349	3149
100	353	3144
101	357	3144
102	359	3132
103	363	3127
104	366	3122
105	369	3120
106	374	3128
107	380	3141
108	383	3137
109	386	3130
110	390	3128
111	394	3127
112	397	3121
113	400	3116
114	404	3112
115	408	3111
116	411	3107
117	414	3100
118	418	3098
119	420	3083
120	423	3076
121	427	3075
122	430	3071
123	434	3068
124	437	3063
125	440	3058
126	444	3054
127	447	3051
128	450	3041
129	453	3037
130	457	3033
131	460	3025
132	463	3021
133	466	3017
134	470	3011
135	474	3011
136	478	3012
137	481	3007
138	484	3001
139	488	2997
140	490	2986
141	493	2982
142	497	2978
143	500	2973
144	504	2972
145	507	2967
146	509	2958
147	513	2954
148	516	2950
149	519	2943
150	523	2941
151	526	2939
152	530	2935
153	533	2931
154	535	2918
155	539	2919
156	543	2916
157	546	2910
158	549	2905
159	552	2901
160	556	2897
161	558	2890
162	561	2884
163	564	2878
164	567	2872
165	571	2869
166	574	2864
167	577	2859
168	580	2853
169	583	2848
170	587	2846
171	590	2840
172	592	2830
173	595	2824
174	597	2818
175	600	2812
176	603	2808
177	607	2803
178	610	2799
