iter	RMSE
0	9.238923226
1	9.066869993
2	8.884837624
3	8.721545316
4	8.591849293
5	8.437963063
6	8.298833869
7	8.143549186
8	7.991052257
9	7.864124456
10	7.728516743
11	7.610323609
12	7.490907862
13	7.376839635
14	7.264035267
15	7.178204254
16	7.057126598
17	6.952235259
18	6.840962041
19	6.727481369
20	6.60460063
21	6.507880224
22	6.405674822
23	6.311615395
24	6.206972881
25	6.118905147
26	6.032597223
27	5.947029983
28	5.853317348
29	5.765857873
30	5.670684769
31	5.611817466
32	5.544883211
33	5.493467051
34	5.423608597
35	5.350705455
36	5.286523346
37	5.216627826
38	5.15177584
39	5.086241686
40	5.029253634
41	4.965344757
42	4.899846749
43	4.839677272
44	4.779812884
45	4.71467655
46	4.659249246
47	4.605620232
48	4.554615044
49	4.510874578
50	4.457096801
51	4.411565542
52	4.364821854
53	4.321845859
54	4.280357848
55	4.243064928
56	4.215798549
57	4.169016407
58	4.124715401
59	4.095866744
60	4.055204534
61	4.022256642
62	3.976583961
63	3.943382792
64	3.907009759
65	3.875149564
66	3.834225505
67	3.800280258
68	3.765161768
69	3.736640848
70	3.70667235
71	3.667938957
72	3.631025277
73	3.605579393
74	3.578890949
75	3.554278373
76	3.519272504
77	3.490230116
78	3.463527055
79	3.441056996
80	3.42061625
81	3.390031563
82	3.367315007
83	3.339777176
84	3.311575433
85	3.285026341
86	3.260340638
87	3.24075942
88	3.217483989
89	3.193663155
90	3.172196423
91	3.151606853
92	3.126381171
93	3.111429896
94	3.088646019
95	3.066539513
96	3.046864797
97	3.031411214
98	3.013236891
99	2.993218848
100	2.979724288
101	2.958675864
102	2.940920857
103	2.923658331
104	2.904599555
105	2.882760618
106	2.860869723
107	2.843055634
108	2.831014066
109	2.816797446
110	2.80397866
111	2.787443781
112	2.779118623
113	2.765355697
114	2.749601479
115	2.735917906
116	2.728294575
117	2.71703523
118	2.706280584
119	2.691464348
120	2.68298959
121	2.667424311
122	2.65465248
123	2.643733288
124	2.631540827
125	2.61765881
126	2.603811805
127	2.592393467
128	2.586386504
129	2.573907484
130	2.561001253
131	2.551078591
132	2.540681631
133	2.532163402
134	2.523062763
135	2.512219758
136	2.504978674
137	2.495651594
138	2.48531091
139	2.475734737
140	2.465601164
141	2.454765792
142	2.445110748
143	2.438030827
144	2.427023161
145	2.415789462
146	2.410072532
147	2.406175672
148	2.397521624
149	2.389551898
150	2.380745448
151	2.373408799
152	2.362728062
153	2.356304712
154	2.352809227
155	2.342916466
156	2.336919524
157	2.327659234
158	2.320361878
159	2.311629861
160	2.301833525
161	2.295590663
162	2.286878026
163	2.279371619
164	2.270367123
165	2.259970817
166	2.253148379
167	2.246301256
168	2.241790318
169	2.232912512
170	2.225159093
171	2.222917328
172	2.215839358
173	2.208139583
174	2.200175494
175	2.193179431
176	2.183208323
177	2.178180193
178	2.169723565
179	2.164629551
180	2.158497526
181	2.153521639
182	2.147247964
183	2.138284617
184	2.130576343
185	2.128234179
186	2.123202729
187	2.117822198
188	2.113465282
189	2.105010572
190	2.102730611
191	2.095928873
